,title,rating
0,"28 Days Later...
",7.75
1,"A Time to Kill
",8.33
2,"Anomalisa
",7.4
3,"Central Intelligence
",6.43
4,"Dead Poets Society
",8.67
5,"Detachment
",7.5
6,"Dial M for Murder
",8.0
7,"Dog Day Afternoon
",8.67
8,"El cuerpo
",8.67
9,"Everest
",6.56
10,"Everybody Wants Some!!
",7.33
11,"Garden State
",9.0
12,"God Bless America
",8.33
13,"Heaven Is for Real
",5.67
14,"Hitman: Agent 47
",5.5
15,"House at the End of the Street
",6.33
16,"I Spit on Your Grave 2
",7.33
17,"Intouchables
",8.73
18,"Jûsan-nin no shikaku
",8.0
20,"Love Actually
",8.5
21,"Macbeth
",7.6
22,"Madagascar 3: Europe's Most Wanted
",7.33
23,"Maleficent
",8.1
24,"Man on Fire
",8.33
25,"Maps to the Stars
",4.5
26,"Me Before You
",7.85
27,"Mrs. Doubtfire
",8.67
28,"Much Ado About Nothing
",7.0
29,"Neighbors 2: Sorority Rising
",5.33
30,"Non-Stop
",7.0
31,"P.S. I Love You
",6.33
32,"Paul Blart: Mall Cop 2
",7.67
33,"Pitch Perfect 2
",7.8
34,"Poltergeist
",8.0
35,"Real Steel
",8.67
36,"Shaun the Sheep Movie
",7.67
37,"Sightseers
",7.67
38,"Sunshine
",7.6
39,"Texas Chainsaw 3D
",6.75
40,"The End of the Tour
",5.67
41,"The Life of David Gale
",7.67
42,"To the Wonder
",7.0
43,"Tower Heist
",6.33
44,"Tyler Perry's Temptation
",4.67
45,"Vaiana
",7.88
46,"War of the Worlds
",9.0
47,"Welcome to Me
",6.67
48,"Why Him?
",6.0
49,"Wreck-It Ralph
",8.18
